FIPS,Admin2,Province_State,Combined_Key,Population,,,
13009,Baldwin,Georgia,"Baldwin, Georgia, US",44890,,,
13011,Banks,Georgia,"Banks, Georgia, US",19234,,,
13013,Barrow,Georgia,"Barrow, Georgia, US",83240,,,
13015,Bartow,Georgia,"Bartow, Georgia, US",107738,,,
13017,Ben Hill,Georgia,"Ben Hill, Georgia, US",16700,,,
13019,Berrien,Georgia,"Berrien, Georgia, US",19397,,,
13021,Bibb,Georgia,"Bibb, Georgia, US",153159,,,
13023,Bleckley,Georgia,"Bleckley, Georgia, US",12873,,,
13025,Brantley,Georgia,"Brantley, Georgia, US",19109,,,
13027,Brooks,Georgia,"Brooks, Georgia, US",15457,,,
13029,Bryan,Georgia,"Bryan, Georgia, US",39627,,,
13031,Bulloch,Georgia,"Bulloch, Georgia, US",79608,,,
13033,Burke,Georgia,"Burke, Georgia, US",22383,,,
13035,Butts,Georgia,"Butts, Georgia, US",24936,,,
13037,Calhoun,Georgia,"Calhoun, Georgia, US",6189,,,
13039,Camden,Georgia,"Camden, Georgia, US",54666,,,
13043,Candler,Georgia,"Candler, Georgia, US",10803,,,
13045,Carroll,Georgia,"Carroll, Georgia, US",119992,,,
13047,Catoosa,Georgia,"Catoosa, Georgia, US",67580,,,
13049,Charlton,Georgia,"Charlton, Georgia, US",13392,,,
13051,Chatham,Georgia,"Chatham, Georgia, US",289430,,,
13053,Chattahoochee,Georgia,"Chattahoochee, Georgia, US",10907,,,
13055,Chattooga,Georgia,"Chattooga, Georgia, US",24789,,,
13057,Cherokee,Georgia,"Cherokee, Georgia, US",258773,,,
13059,Clarke,Georgia,"Clarke, Georgia, US",128331,,,
13061,Clay,Georgia,"Clay, Georgia, US",2834,,,
13063,Clayton,Georgia,"Clayton, Georgia, US",292256,,,
13065,Clinch,Georgia,"Clinch, Georgia, US",6618,,,
13067,Cobb,Georgia,"Cobb, Georgia, US",760141,,,
13069,Coffee,Georgia,"Coffee, Georgia, US",43273,,,
13071,Colquitt,Georgia,"Colquitt, Georgia, US",45600,,,
13073,Columbia,Georgia,"Columbia, Georgia, US",156714,,,
13075,Cook,Georgia,"Cook, Georgia, US",17270,,,
13077,Coweta,Georgia,"Coweta, Georgia, US",148509,,,
13079,Crawford,Georgia,"Crawford, Georgia, US",12404,,,
13081,Crisp,Georgia,"Crisp, Georgia, US",22372,,,
13083,Dade,Georgia,"Dade, Georgia, US",16116,,,
13085,Dawson,Georgia,"Dawson, Georgia, US",26108,,,
13087,Decatur,Georgia,"Decatur, Georgia, US",26404,,,
